# fname,class
0.png,4
0.png.png,1
10079.png,1
1018.png,0
10272.png,1
10317.png,1
10317.png.png,1
10368.png,1
10368.png.png,1
10428.png,4
10428.png.png,1
10431.png,1
10685.png,0
10777.png,0
10870.png,0
10897.png,3
10978.png,0
1100.png,4
1107.png,4
1122.png,4
11225.png,4
11251.png,4
11431.png,1
11468.png,4
11488.png,4
11556.png,4
11559.png,4
11752.png,4
11768.png,4
11784.png,4
11843.png,3
11888.png,1
11888.png.png,1
12063.png,4
1208.png,1
12095.png,1
12095.png.png,1
121.png,0
12228.png,4
12291.png,3
12364.png,4
12429.png,0
12570.png,4
12578.png,1
12578.png.png,1
12619.png,4
12627.png,4
12703.png,1
12703.png.png,1
12857.png,0
12966.png,0
13184.png,1
13209.png,1
13209.png.png,1
13211.png,4
13545.png,4
13556.png,3
13561.png,4
13561.png.png,1
13632.png,4
13766.png,4
13993.png,3
14049.png,1
14082.png,3
1410.png,4
14162.png,4
14301.png,0
14303.png,1
14385.png,1
14386.png,4
1454.png,1
1454.png.png,1
14625.png,4
1481.png,4
1494.png,4
14978.png,0
1503.png,4
15047.png,0
15055.png,1
15055.png.png,1
1516.png,1
15385.png,0
15419.png,3
15692.png,0
15701.png,1
15701.png.png,1
15735.png,3
1585.png,4
15880.png,0
1590.png,0
16164.png,0
16227.png,4
16442.png,1
16442.png.png,1
16576.png,4
1664.png,4
1664.png.png,1
16840.png,4
16840.png.png,1
16937.png,3
16944.png,0
17032.png,0
17237.png,0
17375.png,3
17456.png,4
17523.png,4
17558.png,1
17645.png,4
1774.png,1
17755.png,1
17844.png,4
17910.png,0
17928.png,1
17952.png,1
17952.png.png,1
18.png,4
18060.png,1
18060.png.png,1
18066.png,1
18066.png.png,1
18145.png,0
18189.png,0
18205.png,4
18217.png,1
18217.png.png,1
18246.png,1
18246.png.png,1
1839.png,3
18392.png,1
18392.png.png,1
18450.png,4
18506.png,3
18533.png,4
18586.png,0
18646.png,0
18734.png,4
18738.png,1
18738.png.png,1
18741.png,0
18759.png,3
18794.png,4
18898.png,4
19107.png,3
19110.png,1
19337.png,3
19371.png,1
19412.png,4
19422.png,0
19477.png,1
19477.png.png,1
19618.png,4
19618.png.png,1
19627.png,1
19627.png.png,1
19635.png,4
19714.png,1
19714.png.png,1
19802.png,0
19804.png,0
19944.png,3
19998.png,4
2003.png,0
20340.png,3
2041063066.jpg,5
2041142688_2041142745.jpg,5
2041144513_2041144577.jpg,5
2041146919_2041146989.jpg,5
2041177067_2041177092.jpg,5
2041178183_2041178204.jpg,5
2041222024_2061.jpg,5
2041222293_2309.jpg,5
2041238340_8350.jpg,5
2041399049.jpg,5
2041399053.jpg,5
2041408829.jpg,5
2041411905_2041411958.jpg,5
2041452421.jpg,5
2041454869_2041454986.jpg,5
2041472248_2251.jpg,5
2041516609_6622.jpg,5
2041552279.jpg,5
2041554943_2041554966.jpg,5
2041566321.jpg,5
2041629576.jpg,5
2041644894_5078.jpg,5
2041680749_2041680771.jpg,5
2041737116.jpg,5
2041767163.jpg,5
2041772932_2041772952.jpg,5
2041785647_2041785657.jpg,5
2041787758_2041787815.jpg,5
2041816224_2041816233.jpg,5
2041823902.jpg,5
2041838062.jpg,5
2041840238_2041840262.jpg,5
2041849212.jpg,5
2041865546.jpg,5
2041950112.jpg,5
2041953896.jpg,5
2042016137_2042016138.jpg,5
2042036510_2042036560.jpg,5
2042050075.jpg,5
2042372006_2042372031.jpg,5
2042374071.jpg,5
20424.png,0
20426.png,1
2042824643.jpg,5
2042825475.jpg,5
2042839945_9948.jpg,5
2042854425.jpg,5
2042928507_2042928514.jpg,5
2043043082_2043043084.jpg,5
2043043103.jpg,5
2043043106_2043043108.jpg,5
2043520773_2043520775.jpg,5
2043524125.jpg,5
2043524523.jpg,5
2043561052_2043561066.jpg,5
2043561216_2043561221.jpg,5
2043561280_2043561290.jpg,5
2043591001.jpg,5
20436.png,4
2043663155_2043663175.jpg,5
2043663176_2043663194.jpg,5
2043663197_2043663244.jpg,5
2043664097_2043664113.jpg,5
2043721015_1041.jpg,5
2043746865.jpg,5
2043746892.jpg,5
2043746926.jpg,5
2043819073_2043819074.jpg,5
2044046781_2044046793.jpg,5
2044164779_2044164781.jpg,5
2044186515_6519.jpg,5
2044187033_7036.jpg,5
2044187343_7378.jpg,5
2044313001_3006a.jpg,5
2044313707_3709.jpg,5
2044320515_0518.jpg,5
2044421617.jpg,5
2044438096_8105.jpg,5
2044458808.jpg,5
2044696678_6680.jpg,5
2044761865_2044761896.jpg,5
2044779405_2044779409.jpg,5
2044790346.jpg,5
2044793429_2044793431.jpg,5
2044849179.jpg,5
2045068491_2045068510.jpg,5
2045091347_2045091348.jpg,5
2045150443_2045150474.jpg,5
2045150475_2045150478.jpg,5
2045151114_2045151117.jpg,5
2045186864_2045186865.jpg,5
2045269848_2045269865.jpg,5
2045350299-a_2045350310.jpg,5
2045363439_3450.jpg,5
